Sep=,
iShares Ibovespa Fundo de Índice
Fund Holdings as of,"20 mai 2021"
Inception Date,"28 nov 2008"
Total Net Assets ($000s),"13.593.294.302,58"
,"115.150.000,00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"ASAI3","SENDAS DISTRIBUIDORA SA","0,33","84,09","531.616","44.703.589","44.703.589,44","Bens de primeira necessidade","BMZ9R04","BRASAIACNOR0","XBSP","Brasil","BRL","1,00"
"COGN3","COGNA EDUCACAO SA","0,33","3,99","11.144.006","44.464.584","44.464.583,94","Consumo discricionário","BHNWPB7","BRCOGNACNOR2","XBSP","Brasil","BRL","1,00"
"MRFG3","MARFRIG FRIGORIFICOS SA","0,31","19,04","2.223.979","42.344.560","42.344.560,16","Bens de primeira necessidade","B1YWHR4","BRMRFGACNOR0","XBSP","Brasil","BRL","1,00"
"CYRE3","CYRELA BRAZIL REALTY SA","0,29","23,20","1.696.503","39.358.870","39.358.869,60","Consumo discricionário","2189855","BRCYREACNOR7","XBSP","Brasil","BRL","1,00"
"MULT3","MULTIPLAN EMPREENDIMENTOS IMOBILIA","0,27","25,11","1.483.944","37.261.834","37.261.833,84","Imobiliário","B23DZG0","BRMULTACNOR5","XBSP","Brasil","BRL","1,00"
"PCAR3","COMPANHIA BRASILEIRA DE DISTRIBUIC","0,25","35,14","949.177","33.354.080","33.354.079,78","Bens de primeira necessidade","2667793","BRPCARACNOR3","XBSP","Brasil","BRL","1,00"
"CPFE3","CPFL ENERGIA SA","0,24","28,76","1.132.883","32.581.715","32.581.715,08","Serviços públicos","B031NN3","BRCPFEACNOR0","XBSP","Brasil","BRL","1,00"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES SA","0,23","17,78","1.774.872","31.557.224","31.557.224,16","Consumo discricionário","B235JN1","BRMRVEACNOR2","XBSP","Brasil","BRL","1,00"
"CVCB3","CVC BRASIL OPERADORA E AGENCIA DE","0,21","23,82","1.213.086","28.895.709","28.895.708,52","Consumo discricionário","BGSH2S6","BRCVCBACNOR1","XBSP","Brasil","BRL","1,00"
"CIEL3","CIELO SA","0,19","3,93","6.724.326","26.426.601","26.426.601,18","Tecnologia de informação","B614LY3","BRCIELACNOR3","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA BRAZIL","0,19","18,64","1.398.649","26.070.817","26.070.817,36","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"HGTX3","HERING TEXTIL","0,17","29,44","763.439","22.475.644","22.475.644,16","Consumo discricionário","B010V16","BRHGTXACNOR9","XBSP","Brasil","BRL","1,00"
"IGTA3","IGUATEMI EMPRESA SHOPPING CENTERS","0,17","43,25","519.049","22.448.869","22.448.869,25","Imobiliário","B1NXMK6","BRIGTAACNOR5","XBSP","Brasil","BRL","1,00"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","0,16","25,94","842.733","21.860.494","21.860.494,02","Bens Industriais","B01NTS8","BRGOLLACNPR4","XBSP","Brasil","BRL","1,00"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","0,16","6,11","3.453.837","21.102.944","21.102.944,07","Serviços públicos","2200154","BRCPLEACNPB9","XBSP","Brasil","BRL","1,00"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","0,13","30,90","575.928","17.796.175","17.796.175,20","Consumo discricionário","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"BEEF3","MINERVA SA","0,10","9,60","1.449.714","13.917.254","13.917.254,40","Bens de primeira necessidade","B23GH52","BRBEEFACNOR6","XBSP","Brasil","BRL","1,00"
"JHSF3","JHSF PARTICIPACOES SA","0,10","7,61","1.738.924","13.233.212","13.233.211,64","Imobiliário","B1VN5C1","BRJHSFACNOR2","XBSP","Brasil","BRL","1,00"
"ECOR3","ECORODOVIAS INFRAESTRUTURA E LOGIS","0,09","12,42","1.037.653","12.887.650","12.887.650,26","Bens Industriais","B5720R0","BRECORACNOR8","XBSP","Brasil","BRL","1,00"
"GOLL2","GOL LINHAS AEREAS RIGHTS","0,00","2,09","46.370","96.913","96.913,30","Bens Industriais","BMV7CH4","BRGOLLD07PR6","XBSP","Brasil","BRL","1,00"
"XBM1","MINI BOVESPA (IBOVESPA) INDEX JUN","0,00","122.845,00","6.955","0","170.877.395,00","Cash and/or Derivatives","-","BRBMEFWIN2S6","Bm&Fbovespa S.A. - Bolsa De Valores Mercadorias E Futuros","-","BRL","1,00"
 
